IRM4220,IRM4220 Scottish Gaelic Language And Literature 1,1,BB,Penbryn - MedRus 1 Wasdell,Tuesday,13/01/2015,14:00,2 Hours,Welsh
MA10020(b),MA10020 Algebra And Calculus*,197,C,Sports Cage,Tuesday,13/01/2015,14:00,2 Hours,Mathematics
MA38110,MA38110 Queueing And Reliability,25,B,Penbryn - MedRus Main,Tuesday,13/01/2015,14:00,2 Hours,Mathematics
MMM7220,MMM7220 People And Organisations,39,A,Arts Centre - Great Hall,Tuesday,13/01/2015,14:00,3 Hours,Management & Business
MT10020(b),MT10020 Algebra A Chalcwlws*,16,C,Sports Cage,Tuesday,13/01/2015,14:00,2 Hours,Mathematics
PH32410,PH32410 Condensed Matter 1,76,D,Padarn 1.00,Tuesday,13/01/2015,14:00,2 Hours,Physics
RD10120,RD10120 Making The British Countryside,22,C,Sports Cage,Tuesday,13/01/2015,14:00,1.5 Hours,"Biological, Environmental and Rural Sciences"
SEM5720,SEM5720 The Internet And How It Really Works*,6,BB,Penbryn - MedRus 1 Wasdell,Tuesday,13/01/2015,14:00,2 Hours,Computer Science
BR33820,BR33820 Parasitology,92,A,Arts Centre - Great Hall,Wednesday,14/01/2015,9:30,3 Hours,"Biological, Environmental and Rural Sciences"
GW10320,GW10320 Rhyfel Strategaeth A Chuddwybodaeth*,4,C,Sports Cage,Wednesday,14/01/2015,9:30,2 Hours,International Politics
HC11520,HC11520 Cymru A'R Byd: Cysylltiadau A Dylanwadau 1860 - 2000*,17,C,Sports Cage,Wednesday,14/01/2015,9:30,2 Hours,History & Welsh History
IP10320,"IP10320 War, Strategy And Intelligence*",128,C,Sports Cage,Wednesday,14/01/2015,9:30,2 Hours,International Politics
IP32220,IP32220 Political Theory*,1,C,Sports Cage,Wednesday,14/01/2015,9:30,2 Hours,International Politics
MA20110,MA20110 Real Analysis*,77,C,Sports Cage,Wednesday,14/01/2015,9:30,2 Hours,Mathematics
MM19010,MM19010 Tourism Principles And Impacts,60,A,Arts Centre - Great Hall,Wednesday,14/01/2015,9:30,1.5 Hours,Management & Business
MM34020,MM34020 Business Strategy,118,B,Penbryn - MedRus Main,Wednesday,14/01/2015,9:30,2 Hours,Management & Business
MT20110,MT20110 Dadansoddiad Real,15,C,Sports Cage,Wednesday,14/01/2015,9:30,2 Hours,Mathematics
MX30110,MX30110 Real Analysis*,2,C,Sports Cage,Wednesday,14/01/2015,9:30,2 Hours,Mathematics
RD11810,RD11810 Equine Industry,13,C,Sports Cage,Wednesday,14/01/2015,9:30,1.5 Hours,"Biological, Environmental and Rural Sciences"
